ID;PADRE;MADRE;GRADO;NOMBRE COMPLETO;ACUDIENTE;PROMEDIO ACUMULADO;ASIGNATURAS PERDIDAS;ASIGNATURAS  GANADAS;TOTAL ASIGNATURAS;AÑO
104956787;WILSON GARCIA ;MARIA DE LUZ PEREZ;10;ALEJANDRA GARCIA PEREZ;MARIA DE LUZ PEREZ;3,9;0;12;12;2020
106460372;CARLOS ALBERTO AGUDELO;SANDRA AGUILAR CASTAÑEDA;10;ALEJANDRA AGUDELO CASTAÑEDA;SANDRA AGUILAR CASTAÑEDA;4,5;0;12;12;2020
98091263602;ALCIDES DELGADO ;MARIA PATRICIA MEJIA;10;ALEXIS DELGADO MEJIA;MARIA PATRICIA MEJIA;4,5;0;12;12;2020
123054863;ALEJANDRO ALFREDO GARZON;MARIA CARMEN ZAPATA;10;BRAHIAN GAZON ZAPATA;MARIA CARMEN ZAPATA;4,5;0;12;12;2020
103965739;FERNANDO CANO URREGO;ANGELICA ORTIZ MESA;10;BRANDON CANO ORTIZ;ANGELICA ORTIZ MESA;4,6;0;12;12;2020
104762352;JOSE DAVID ARAGAN;AURA CRISTINA LOPEZ JARAMILLO;10;SOFIA ARAGAN SERNA LOPEZ;AURA CRISTINA LOPEZ JARAMILLO;4,4;0;12;12;2020
105968792;JORGE MARIO SERNA CALDERON;CATALINA ARGAEZ LOPEZ;10;CAROLINA ARGAEZ SERNA;JORGE MARIO SERNA CALDERON;3,5;2;10;12;2020
103409871;CRISTIAN ABRIL BETANCUR;DANIELA CABRERA JARAMILLO;10;CESAR JULIAN ABRIL CABRERA;DANIELA CABRERA JARAMILLO;4,5;0;12;12;2020
189023456;DAVID ARTURO MONTENEGRO;DENIS LOPEZ VASCO;10;JUAN DAVID MONTENEGRO VASCO;DENIS LOPEZ VASCO;4,3;0;12;12;2020
103948520;EDER ANDRADE RULO;FERNANDA BERMUDEZ L;10;SARA CAMILA ANDRADE ;FERNANDA BERMUDEZ L;3,1;4;8;12;2020
104738764;EDISON FERNEY CASTRILLON;EVELYN TABORDA CARDONA;10;FELIPE CATRILLON TABORDA;EVELYN TABORDA CARDONA;4,1;0;12;12;2020
109475863;EDWIN BARRIEN ARROYAVE;GERALDINE GRAJALES MUÑOZ;10;JESSICA BARRIENTOS GRAJALES;GERALDINE GRAJALES MUÑOZ;4,5;0;12;12;2020
143069432;CARLOS ESTEBAN GOMEZ;ISABEL FRANCO QUINTERO;10;JUAN DIEGO GOMEZ QUINTERO;ISABEL FRANCO QUINTERO;4,3;0;12;12;2020
106730872;JUAN FERNANDO FLOREZ HERNANDES;JAQUELINE HENAO MARULANDA;10;YESICA FLOREZ HENAO;JAQUELINE HENAO MARULANDA;4,5;0;12;12;2020
9309124521;EUSEBIO ARISMENDY TALOA;MARIA EUGENIA MONTOYA;10;JULIAN ARISMENDY MONTOYA;MARIA EUGENIA MONTOYA;4,3;0;12;12;2020
103840937;WILLIAM HOPKINS;SUSSAN HOPKINS;10;MIKE HOPKINS DELAWERE;LUCELLY ORTIZ;4;0;12;12;2020
103857940;JESUS PINEDA S;JULIANA MARTINEZ NARVAES;10;JULIO CESAR PINEDA MERTINEZ;JULIANA MARTINEZ NARVAES;4,4;0;12;12;2020
103946029;JHON JAMES HENAO ;KAREN GARCIA SALDARRIAGA;10;KATERIN HENAO SALDARRIAGA;JHON JAMES HENAO ;4,7;0;12;12;2020
103958304;HENRY TORRES GUISAO;LILIANA FRANCO VASQUEZ;10;LORENA TORRES VASQUEZ;LILIANA FRANCO VASQUEZ;3,9;0;12;12;2020
103967308;JUAN GABRIEL MONTOYA SALAS;LINDA GARCIA OSORIO;10;LIZ FERNANDA MONTOYA OSORIO;JUAN GABRIEL MONTOYA SALAS;4,6;0;12;12;2020
